Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,power,narx,error,errorh
01/02/2016,4,0,9.88,0.83,0.45,90.08,6.12,29.15,29.94,0,-83.14150981,83.14150981,-166.2830196
01/02/2016,5,0,9.84,0.77,0.1,85.44,5.08,29.16,29.95,0,118.7347713,-118.7347713,237.4695427
01/02/2016,6,0,9.92,0.37,-0.01,89.12,4.72,29.19,29.98,0,298.8566543,-298.8566543,597.7133085
01/02/2016,7,0,10,0.47,-0.04,90.08,6,29.2,29.99,84.29,308.8020222,-224.5120222,533.3140445
01/02/2016,8,0.14,9.92,0.89,0.3,92,2.76,29.22,30.01,531,500.051984,30.94801599,469.103968
01/02/2016,9,0.92,10,1.97,0.41,86.12,5.56,29.24,30.04,923.75,1257.178275,-333.4282747,1590.606549
01/02/2016,10,0.46,10,3.15,1.07,82.48,2.12,29.27,30.06,1947.75,1073.867705,873.8822949,199.9854103
01/02/2016,11,0.42,10,4.5,1.05,75.88,0,29.27,30.06,3562,2448.258726,1113.741274,1334.517452
01/02/2016,12,0,10,6.16,1.26,68.96,0,29.26,30.05,4236.5,3385.002275,851.4977252,2533.50455
01/02/2016,13,0,10,7.56,1.41,64.48,0,29.25,30.04,3913,4121.936019,-208.9360195,4330.872039
01/02/2016,14,0,10,8.47,0.63,57.12,3.72,29.24,30.03,3189.25,3373.507671,-184.2576713,3557.765343
01/02/2016,15,0,10,8.78,-0.2,51.76,2.04,29.23,30.02,1687.75,2287.703346,-599.9533456,2887.656691
01/02/2016,16,0,10,8.49,-0.21,54.2,3.2,29.24,30.03,453.93,868.3383814,-414.4083814,1282.746763
01/02/2016,17,0,10,5.86,0.44,64.64,3.16,29.26,30.05,9.13,231.0345577,-221.9045577,452.9391155
01/02/2016,18,0.4,10,3.03,-0.07,71.72,4.68,29.27,30.06,0,-7.174898879,7.174898879,-14.34979776
01/02/2016,19,0.14,10,2.03,-0.23,79.6,5.76,29.28,30.07,0,21.59463394,-21.59463394,43.18926788
01/02/2016,20,0,10,1.78,-0.34,79.72,7.36,29.27,30.06,0,-125.7099034,125.7099034,-251.4198067
01/02/2016,21,0.01,10,1.79,-0.58,84.76,7.04,29.27,30.06,0,-74.48633943,74.48633943,-148.9726789
01/02/2016,22,0,10,1.67,-0.34,86.88,6.76,29.28,30.08,0,-35.69781865,35.69781865,-71.3956373
01/02/2016,23,0,5.52,1.43,0.05,90.76,6.12,29.29,30.08,0,23.40181269,-23.40181269,46.80362537
01/02/2016,24,0,4.11,1.33,0.38,91.67,8.11,29.28,30.07,0,-18.21123106,18.21123106,-36.42246211
02/02/2016,1,0,4.72,1.11,-0.01,91.88,6.44,29.28,30.07,0,134.0487738,-134.0487738,268.0975477
02/02/2016,2,0,4.4,1.04,0.05,91.72,9.4,29.28,30.07,0,156.4217363,-156.4217363,312.8434725
02/02/2016,3,0,3.08,0.78,-0.01,94.44,10.12,29.25,30.04,0,80.13756894,-80.13756894,160.2751379
02/02/2016,4,0,3.04,0.8,0.02,95.72,12.12,29.22,30.01,0,-28.88898077,28.88898077,-57.77796153
02/02/2016,5,0.73,3.4,1.33,0.33,94.44,13.44,29.2,29.99,0,157.7893449,-157.7893449,315.5786899
02/02/2016,6,0.92,5.04,2.07,0.54,89.8,14.08,29.19,29.98,0,140.9517998,-140.9517998,281.9035995
02/02/2016,7,0.92,5.76,2.51,0.67,86.8,18,29.13,29.92,31.35,229.5770216,-198.2270216,427.8040432
02/02/2016,8,0.92,5,2.63,1.06,88.84,17.92,29.08,29.87,116.1,247.5081291,-131.4081291,378.9162581
02/02/2016,9,1,6.35,3.34,1.65,86.89,18.3,29.01,29.81,172.5,311.6217073,-139.1217073,450.7434147
02/02/2016,10,0.99,5.22,3.95,2.22,87.26,20.18,28.95,29.75,205,169.1798826,35.82011741,133.3597652
02/02/2016,11,1,7.35,5.04,3.16,86.38,21.5,28.9,29.68,274,202.5358631,71.46413686,131.0717263
02/02/2016,12,1,5.93,6.34,4.93,90.56,20.46,28.85,29.64,325,262.918072,62.08192804,200.8361439
02/02/2016,13,1,1,7.96,7.07,97.28,17.56,28.81,29.59,256.5,415.2017285,-158.7017285,573.903457
02/02/2016,14,1,0.92,9.99,9.27,97.38,15.76,28.76,29.54,133.75,240.6321332,-106.8821332,347.5142663
02/02/2016,15,1,3.15,11.87,11.02,96,20.92,28.72,29.5,182.5,173.8043854,8.695614637,165.1087707
02/02/2016,16,1,4.68,12.79,11.72,95.2,17.96,28.71,29.49,115.5,140.3294717,-24.82947174,165.1589435
02/02/2016,17,0.83,7.26,13.51,12.56,94.26,17.15,28.69,29.47,2.93,133.6407243,-130.7107243,264.3514487
02/02/2016,18,0.89,8,14.06,13.56,93.27,16.08,28.65,29.43,0,187.5683138,-187.5683138,375.1366276
02/02/2016,19,0.96,5.62,13.87,13.5,94.17,14,28.66,29.45,0,48.98251206,-48.98251206,97.96502413
02/02/2016,20,1,3.91,12.55,13.15,98.89,3.48,28.68,29.47,0,-16.29808091,16.29808091,-32.59616182
02/02/2016,21,1,0.18,10.85,11.72,100,2.44,28.69,29.47,0,7.470083169,-7.470083169,14.94016634
02/02/2016,22,1,0.09,10.19,11.06,98.72,6.68,28.72,29.5,0,-97.98284816,97.98284816,-195.9656963
02/02/2016,23,1,0.24,9.66,10.26,100,4.44,28.72,29.5,0,-1.150028923,1.150028923,-2.300057847
02/02/2016,24,1,0.25,9.58,9.67,96.44,0.55,28.73,29.51,0,-30.16001302,30.16001302,-60.32002603
03/02/2016,1,1,0.25,7.92,8.84,100,6.68,28.73,29.51,0,78.0601861,-78.0601861,156.1203722
03/02/2016,2,0.97,0.73,6.23,7.21,98.86,5.53,28.74,29.52,0,-1.608754718,1.608754718,-3.217509436
03/02/2016,3,0.6,5.44,5,6.06,97.28,11.24,28.75,29.53,0,-10.54482837,10.54482837,-21.08965673
03/02/2016,4,0,10,4.6,3.5,85.16,13.88,28.77,29.55,0,-34.60259519,34.60259519,-69.20519039
03/02/2016,5,0.48,10,3.79,2.38,86.28,13.4,28.8,29.58,0,91.87410731,-91.87410731,183.7482146
03/02/2016,6,0.16,10,2.47,0.22,79.12,15.36,28.83,29.61,0.68,127.84463,-127.16463,255.0092599
03/02/2016,7,0.56,10,1.86,-0.17,81.04,11.72,28.85,29.63,303.38,73.01663604,230.363364,-157.3467279
03/02/2016,8,0.98,10,2.47,0.23,80.04,15.23,28.88,29.67,327.75,655.3787822,-327.6287822,983.0075645
03/02/2016,9,1,10,3.14,0.42,79,20.56,28.91,29.7,337.75,756.7175533,-418.9675533,1175.685107
03/02/2016,10,1,10,3.13,1.02,81.88,19.4,28.94,29.73,205,739.851175,-534.851175,1274.70235
03/02/2016,11,1,7.44,2.78,1.22,86.8,21.4,28.96,29.75,250.5,573.7304803,-323.2304803,896.9609606
03/02/2016,12,1,5.3,2.05,1.05,88.7,22.35,28.98,29.77,378.75,444.7836145,-66.03361451,510.817229
03/02/2016,13,1,9.74,1.58,0.39,88.58,21.59,29,29.79,310,354.5491522,-44.54915217,399.0983043
03/02/2016,14,1,9.89,1.1,-0.08,87.56,22.57,29.05,29.84,256.25,221.6881659,34.56183413,187.1263317
03/02/2016,15,1,10,0.31,-0.77,88.58,19,29.08,29.88,353.75,222.1350232,131.6149768,90.52004634
03/02/2016,16,1,10,-0.22,-1.66,85.76,21.16,29.13,29.92,62.8,181.5557694,-118.7557694,300.3115388
03/02/2016,17,1,10,-0.54,-2.36,84.2,19.72,29.17,29.96,0.74,136.6668333,-135.9268333,272.5936665
03/02/2016,18,1,10,-0.69,-2.7,83.08,17.36,29.22,30.01,0,24.04721317,-24.04721317,48.09442633
03/02/2016,19,1,10,-0.82,-3.04,80.2,16.24,29.26,30.05,0,97.74719345,-97.74719345,195.4943869
03/02/2016,20,1,10,-0.96,-3.64,79.76,16.56,29.29,30.08,0,-10.97613203,10.97613203,-21.95226405
03/02/2016,21,1,10,-1.12,-3.84,79.44,15.76,29.3,30.09,0,-32.08257208,32.08257208,-64.16514416
03/02/2016,22,1,10,-1.6,-4.26,78,18.44,29.32,30.11,0,35.0136022,-35.0136022,70.0272044
03/02/2016,23,1,10,-1.85,-4.67,79.16,15.72,29.34,30.13,0,43.64108312,-43.64108312,87.28216624
03/02/2016,24,1,10,-1.87,-4.8,81.56,20.56,29.34,30.14,0,-39.5878419,39.5878419,-79.17568379
04/02/2016,1,1,10,-2.57,-5.63,78,14.72,29.36,30.16,0,-50.81687709,50.81687709,-101.6337542
04/02/2016,2,1,10,-3.08,-6.13,78,14.48,29.38,30.17,0,-26.06859438,26.06859438,-52.13718876
04/02/2016,3,1,10,-3.39,-5.78,79.68,13.84,29.38,30.18,0,-92.43169166,92.43169166,-184.8633833
04/02/2016,4,1,10,-3.81,-6.14,77.88,14.04,29.39,30.19,0,-80.30901436,80.30901436,-160.6180287
04/02/2016,5,1,10,-4.32,-6.76,77.88,13.08,29.39,30.19,0,-48.24826394,48.24826394,-96.49652788
04/02/2016,6,1,10,-4.76,-7.75,75.92,13.68,29.42,30.22,0,55.20430894,-55.20430894,110.4086179
04/02/2016,7,0.42,10,-5.41,-8.68,75.44,12.08,29.45,30.25,243.54,120.2705815,123.2694185,-2.998836936
04/02/2016,8,0.3,10,-5.49,-8.8,74.57,11.88,29.46,30.26,1750.25,731.4441482,1018.805852,-287.3617037
04/02/2016,9,0.29,10,-4.75,-8.5,71.64,12.6,29.48,30.28,3386,2472.613537,913.3864625,1559.227075
04/02/2016,10,0.15,10,-3.81,-8.15,69.84,10.76,29.49,30.29,4258.25,3787.958792,470.2912076,3317.667585
04/02/2016,11,0,10,-2.86,-7.78,66.84,8.72,29.47,30.27,4610.25,4286.309652,323.9403483,3962.369303
04/02/2016,12,0.28,10,-1.92,-6.76,67.72,10.44,29.46,30.26,4617.25,4368.990432,248.2595679,4120.730864
04/02/2016,13,0,10,-1.19,-6.52,64.52,10.64,29.45,30.25,4278.25,3998.864779,279.3852213,3719.479557
04/02/2016,14,0,10,-0.49,-6.05,64.84,8.08,29.44,30.24,3491.75,3502.842983,-11.09298345,3513.935967
04/02/2016,15,0,10,0.1,-5.54,63.8,8.72,29.45,30.25,1941,2629.529172,-688.5291724,3318.058345
04/02/2016,16,0,10,0.12,-5.36,64.96,7.68,29.47,30.27,542,1047.553999,-505.5539989,1553.107998
04/02/2016,17,0,10,-0.6,-4.66,69.2,4.84,29.49,30.29,12.84,156.730267,-143.890267,300.620534
04/02/2016,18,0,10,-1.1,-3.68,78.64,4.4,29.49,30.29,0,-55.78842108,55.78842108,-111.5768422
04/02/2016,19,0.83,10,-0.97,-3.12,81.04,4.44,29.5,30.3,0,-15.19194082,15.19194082,-30.38388164
04/02/2016,20,0.54,10,-1.39,-3.5,82,6.04,29.5,30.3,0,5.414485993,-5.414485993,10.82897199
04/02/2016,21,0.14,10,-1.73,-3.58,81.96,5.76,29.5,30.3,0,-115.6374804,115.6374804,-231.2749608
04/02/2016,22,0,10,-2,-3.65,85.16,3.84,29.5,30.3,0,-93.83914896,93.83914896,-187.6782979
