ID,Panel temperature ,Site temperature ,Light intensity,Wind speed ,Wind direction ,Power,narx,error,errorh
15,-14.6,-16.3,65,1.1,280,2.532091305,2.114829639,0.417261666,-7.36322
16,-14.1,-16.2,76,0.9,278,2.779719016,2.372243499,0.407475517,-1.98571
19,-11.25,-15.9,96,1.5,277,3.832377845,2.561910866,1.270466979,-2.81111
20,-10.77,-15.8,100,1.5,281,3.956691872,3.650254826,0.306437046,-1.18972
22,-10.77,-15.8,100,1.5,281,5.440740511,3.919027876,1.521712635,-1.54406
24,-8.33,-14.7,122,0.7,278,4.501339205,5.221053111,-0.719713906,-0.09441
27,-5.52,-13.9,142,0,265,5.135805356,4.659612485,0.476192871,-2.68281
30,-4.6,-13.9,159,1.2,276,5.632253547,4.751288597,0.88096495,-0.61259
34,-3.7,-13.4,187,1.8,282,6.240379858,5.574581012,0.665798846,-1.22022
35,-3.79,-13.1,189,1.8,283,6.32529002,6.196900062,0.128389958,-0.47427
39,-2.85,-12,213,1.2,279,6.893458775,6.286948114,0.606510661,-1.49904
42,-1.23,-11.4,229,0.5,268,7.194232037,6.797421556,0.396810481,-0.3578
43,0.02,-11.5,233,1.5,281,7.409266423,6.988333722,0.420932701,-1.23553
44,0.12,-11,243,1.1,278,7.486756185,7.170039738,0.316716447,-0.41097
45,0.14,-10.8,245,1.4,279,7.524506052,7.254562898,0.269943154,-1.24218
47,0.49,-10.7,250,1.4,273,7.727475919,7.284694651,0.442781268,-0.67377
49,0.95,-10.5,262,1.6,275,7.859372553,7.383656175,0.475716378,-1.0981
52,1.47,-9.7,272,1.8,265,8.072623771,7.581631038,0.490992733,-0.68083
57,3.18,-9.9,292,1.9,275,8.499591852,7.770842062,0.72874979,-0.91741
58,3.47,-10.1,296,1.5,268,8.61579488,8.202481128,0.413313752,-0.33274
60,4.43,-9.2,309,1.4,262,8.814133488,8.31724623,0.496887258,-0.82493
61,4.55,-9.4,310,1.9,265,8.825954978,8.564227538,0.26172744,-0.38023
63,5.45,-9.4,313,1.8,271,8.927323562,8.475001947,0.452321615,-0.97849
64,5.14,-8.5,320,0.9,264,8.993092311,8.551941255,0.441151056,-0.43095
65,5.6,-8,326,0.6,281,9.174610886,8.660722178,0.513888708,-0.80291
66,6.41,-8,331,1.2,276,9.166628462,8.838284165,0.328344297,-0.34427
67,6.74,-8.1,334,1.2,269,9.22637093,8.797721145,0.428649785,-0.87607
68,6.95,-7.5,334,0.9,275,9.26106829,8.85847466,0.40259363,-0.42436
71,8.58,-7.9,346,2.8,282,9.363345862,8.818611797,0.544734065,-0.86727
73,8.39,-8,352,2,278,9.500436634,8.952283198,0.548153436,-0.26816
74,8.28,-7.4,351,1.2,287,9.53812862,9.12748979,0.41063883,-0.62678
75,8.97,-7.2,353,1.3,281,9.567061807,9.19711653,0.369945277,-0.34018
76,8.95,-7,360,2,280,9.632616198,9.180339353,0.452276845,-0.68347
77,9.1,-6.7,361,2,276,9.638795743,9.26880963,0.369986113,-0.29948
78,8.89,-6.4,362,2.3,277,9.666952386,9.226773676,0.44017871,-0.69222
79,8.58,-6.4,364,2.3,277,9.67283446,9.275177272,0.397657188,-0.26071
80,8.68,-6.4,365,3.2,278,9.696061157,9.304244288,0.391816869,-0.67029
84,8.16,-5.7,372,1.7,282,9.780475125,9.327652427,0.452822698,-0.26606
87,8.64,-6.2,374,2.8,277,9.834537337,9.479549914,0.354987423,-0.52636
88,9.09,-5.8,374,3.6,264,9.806275566,9.502580745,0.303694821,-0.31866
90,9.81,-5.2,376,1.7,276,9.896070605,9.477201031,0.418869574,-0.59662
91,9.93,-5.4,376,2.6,268,9.820113595,9.532880863,0.287232732,-0.24696
92,9.93,-5.3,376,2.1,282,9.838550081,9.473807577,0.364742504,-0.65421
93,10.33,-5.4,374,1.7,270,9.854280031,9.517546413,0.336733618,-0.28024
94,10.31,-4.9,375,3.1,280,9.837433323,9.417335206,0.420098117,-0.63655
97,10.05,-5,374,2.2,278,9.801534641,9.475145657,0.326388984,-0.18758
99,9.74,-5,373,3.3,243,9.775180263,9.413711783,0.36146848,-0.6968
101,9.95,-4.7,370,2.7,270,9.831032516,9.38046247,0.450570046,-0.14251
105,9.64,-4.5,362,2.5,253,9.665020988,9.383739371,0.281281617,-0.57348
106,10.01,-4.7,358,2.2,268,9.595369521,9.210951783,0.384417738,-0.07606
113,9.35,-4,341,3.8,268,9.202731194,9.240903949,-0.038172755,-0.62474
114,9.3,-4,339,2.2,258,9.223527059,8.727091164,0.496435895,-0.55069
115,8.93,-4.3,336,3,277,9.145244612,8.774039285,0.371205327,-0.48027
117,8.26,-3.5,330,4.2,277,9.101057397,8.653566108,0.447491289,-0.35475
119,7.68,-4.1,324,4.6,274,9.016137292,8.657488333,0.358648959,-0.35606
122,7.03,-3.9,316,5.9,288,8.799822703,8.589685705,0.210136998,-0.32561
123,6.76,-3.9,309,5.8,275,8.772716236,8.377022185,0.395694051,-0.58505
124,6.76,-3.7,300,3.1,283,8.686780694,8.320628433,0.366152261,-0.21654
125,6.78,-4.1,298,4.9,277,8.500604594,8.250634937,0.249969657,-0.48149
126,6.57,-3.7,290,3.9,271,8.305984672,8.040655768,0.265328904,-0.40197
127,6.5,-3.7,287,5.6,258,8.369689493,7.881000219,0.488689274,-0.59
131,5.81,-3.5,274,5,281,8.129785602,7.802157748,0.327627854,-0.17302
133,5.56,-3.8,267,5.1,279,8.014506561,7.624614708,0.389891853,-0.6472
134,5.56,-3.8,267,5.1,279,8.014506561,7.490418151,0.52408841,-0.10522
136,5.78,-3.3,254,4.4,266,7.823631161,7.552610858,0.271020303,-0.34974
141,5.29,-3.3,236,3.8,267,7.408896095,7.25423224,0.154663855,-0.12752
145,4.83,-3.4,203,5,281,6.968055445,6.808277122,0.159778323,-0.77983
147,4.56,-3.2,195,3.3,278,6.769756624,6.207761038,0.561995586,-0.33509
149,4.53,-3.2,180,3.7,274,6.569853306,6.081562224,0.488291082,-0.56385
150,4.45,-3.2,177,2.8,280,6.47683247,5.85726894,0.61956353,0.20217
156,2.7,-3.4,133,3.6,277,5.563532672,5.828636275,-0.265103603,-0.37991
157,2.31,-3.4,126,4.7,259,5.403954544,4.846290846,0.557663698,-0.63641
158,1.85,-3.4,124,3.8,250,5.20086023,4.681572659,0.519287571,-0.21875
160,1.47,-3.4,100,3.8,275,4.828878312,4.586413067,0.242465245,0.08089
164,1.91,-3.4,20,2.7,263,3.943035918,4.147874783,-0.204838865,-0.63573
166,1.56,-3.4,16,2.5,243,3.581687917,2.812842832,0.768845085,-0.67584
169,0.74,-3.5,14,3.3,264,3.186497178,2.670577019,0.515920159,-0.11008
170,0.37,-3.5,12,2.4,282,2.981897919,2.472936868,0.508961051,-0.08702
171,-0.43,-3.6,11,3.1,279,2.570408936,2.461145495,0.109263441,0.03168
172,-1.02,-3.8,9,2.8,285,2.373424966,2.191759662,0.181665304,-0.33606
173,-1.56,-3.9,8,2.9,271,2.239783042,1.939936572,0.29984647,-0.14757
174,-2.31,-4,7,2,266,2.049708452,1.84365862,0.206049832,-0.08819
175,-3.47,-4,6,2.4,266,1.603676461,1.606746424,-0.003069963,0.09712
176,-4.77,-4.1,3,2.9,266,0.625154066,1.195617158,-0.570463092,-0.24271
178,-6.41,-4.4,1,2.1,262,0.146529193,0.402586458,-0.256057265,-1.04844
190,0.01,0.1,1,0.1,1,0.379993053,-0.025494693,0.405487746,-0.89963
199,-6.1,-4.6,15,4.5,275,0.564661106,0.188281901,0.376379205,-0.69436
202,-5.46,-4.4,27,3.9,265,1.268156273,0.553924245,0.714232028,-0.90194
204,-4.52,-3.9,57,5,279,2.060996794,0.742807905,1.318188889,-0.02297
205,-3.83,-3.9,57,4.8,273,2.195669396,2.170001176,0.02566822,0.69097
206,-3.45,-3.7,60,4.2,274,1.768850243,1.999792626,-0.230942383,-0.54987
208,-2.95,-3.5,62,5.1,281,1.97850552,1.605352695,0.373152825,-0.20807
214,-3.02,-2.9,75,4.3,280,1.483913814,1.605666531,-0.121752717,-0.35867
215,-2.85,-2.9,81,5.4,266,1.781251607,1.451505435,0.329746172,-0.57738
216,-2.48,-2.8,81,5.7,270,1.828329805,1.545970724,0.282359081,-0.30627
218,-2.21,-2.6,97,5,280,2.039709824,1.71812213,0.321587694,-0.40337
219,-2.02,-2.6,100,7.4,281,2.219470904,1.878831033,0.340639871,-0.1301
222,-1.77,-2.4,111,5.2,277,2.042072444,2.080342111,-0.038269667,-0.25548
223,-1.62,-2.4,118,2.9,276,2.198234446,1.965591043,0.232643403,-0.52453
224,-1.52,-2.4,121,4.4,277,2.148645083,1.908074758,0.240570325,-0.29269
226,-1.29,-2.4,124,4.6,280,2.11960019,1.854476934,0.265123256,-0.39172
227,-1.27,-2.4,125,2.4,285,2.131764344,1.935356958,0.196407386,-0.16699
228,-1.21,-2.4,120,3.3,271,1.962651553,1.954499449,0.008152104,-0.3958
229,-1.16,-2.4,120,2.8,280,1.863616882,1.693435908,0.170180974,-0.48259
231,-1.1,-2.3,123,2.5,281,1.834492721,1.589937353,0.244555368,-0.45711
232,-1.04,-2.3,128,2.4,272,1.914724975,1.638378587,0.276346388,-0.42666
233,-0.96,-2.2,133,3.7,279,2.09345169,1.709330182,0.384121508,-0.30518
234,-0.75,-2.1,133,4,274,2.103890489,1.973091784,0.130798705,-0.12256
236,-0.83,-2.1,133,2.7,276,1.942338044,1.993681481,-0.051343437,-0.34331
238,-0.87,-2,133,2.4,299,1.839847502,1.825406475,0.014441027,-0.61992
239,-0.87,-2.1,135,3.8,274,1.963589185,1.618258221,0.345330964,-0.53359
240,-0.81,-2,138,3,293,1.959526617,1.798852396,0.160674221,-0.53355
245,0.22,-1.8,155,2.5,276,2.580647791,1.913515802,0.667131989,-0.4396
247,0.47,-1.9,154,3.6,276,2.342432564,2.317675763,0.024756801,0.06495
248,0.51,-2,154,3.6,276,2.352521395,2.269655245,0.08286615,-0.6713
249,0.66,-2,158,3.7,274,2.43542457,2.134471538,0.300953032,-0.26209
253,0.93,-1.9,159,3,279,2.46100996,2.364707896,0.096302064,-0.43392
254,0.87,-1.9,159,4.3,286,2.435644058,2.28165288,0.153991178,-0.48246
257,1.26,-1.8,177,3.4,269,2.787519269,2.324138749,0.46338052,-0.46853
258,1.32,-1.8,177,4.3,268,2.772492838,2.656950606,0.115542232,-0.0361
259,1.49,-1.7,175,2.3,278,2.74614762,2.697112559,0.049035061,-0.4322
261,1.49,-1.7,161,2.7,288,2.286346109,2.440249693,-0.153903584,-0.28164
262,1.18,-1.7,156,1.9,278,2.217032043,2.121602558,0.095429485,-0.9058
267,1.12,-1.7,164,3.6,279,2.218041134,1.912424529,0.305616605,-0.31247
269,1.12,-1.7,165,3.7,280,2.296775906,2.214193085,0.082582821,-0.60767
270,1.18,-1.7,166,3.3,281,2.297075524,2.210804634,0.08627089,-0.33804
273,1.41,-1.4,160,2.7,266,2.280330009,2.264724089,0.01560592,-0.86105
274,1.39,-1.5,162,4.3,269,2.308676116,2.050054568,0.258621548,-0.49734
275,1.39,-1.5,166,3.1,273,2.358522803,2.191826343,0.16669646,-0.99226
280,1.83,-1.2,179,3.6,277,2.842669293,2.208516454,0.634152839,-0.39581
281,2.06,-1.1,175,3.4,264,2.814183724,2.737310774,0.07687295,-0.82752
283,2.45,-1.1,196,2.7,267,3.753436741,2.621735362,1.131701379,-0.43376
285,3.47,-0.9,218,3.6,283,3.343475255,3.447782323,-0.104307068,0.25976
286,3.62,-0.9,238,2.8,273,3.499100809,3.387647043,0.111453766,-0.9816
287,3.93,-0.7,249,3.7,276,4.238051043,3.382776762,0.855274281,-0.00183
288,4.26,-0.8,233,2.4,275,3.755238119,4.193033752,-0.437795633,0.39451
290,4.29,-0.8,193,2.6,284,2.684298894,3.519058752,-0.834759858,-0.69923
293,3.06,-0.7,167,2.6,283,2.327772399,2.592883338,-0.265110939,-1.20064
294,2.74,-0.7,167,2.6,283,2.28500095,2.17256154,0.11243941,-1.00458
295,2.35,-0.9,159,3,272,2.139682224,2.221541734,-0.08185951,-0.99607
296,2.04,-0.8,152,3.1,279,2.084514869,1.991211024,0.093303845,-1.21747
297,1.93,-0.7,151,2.3,273,2.040797197,1.947031931,0.093765266,-1.27879
299,1.8,-0.8,162,2.6,275,2.15940374,1.864174442,0.295229298,-1.53644
302,2.33,-0.4,164,2.9,275,2.678284633,2.036854866,0.641429767,-1.53961
303,2.41,-0.3,171,2.2,280,2.401444516,2.443187861,-0.041743345,-1.41318
306,2.58,-0.1,199,2.8,281,3.379270563,2.362877222,1.016393341,-4.78351
309,9.58,0.7,457,2.9,274,10.34433944,3.145475007,7.198864433,-1.26256
311,13.1,0.8,419,2.9,278,10.31931677,8.483049474,1.836267296,4.36328
314,15.41,1.3,348,1.7,267,9.272403463,9.225974636,0.046428827,0.63851
316,15.64,1.1,238,1.6,255,9.031615327,9.744843158,-0.713227831,1.37896
317,15.68,1.1,283,2.7,272,7.797603572,7.674288313,0.123315259,-1.86474
318,15.43,1.1,255,2.1,258,8.223106862,7.387311428,0.835795434,1.3757
319,14.76,0.9,230,2.5,272,5.952094067,7.248919704,-1.296825637,-2.09947
321,13.81,1,300,2.9,276,8.726891468,5.830454247,2.896437221,-0.96576
322,13.83,1,299,2.7,284,8.597113221,7.69409223,0.903020991,0.80898
323,13.95,1.3,284,3.9,251,8.225596788,7.902848252,0.322748536,0.57577
325,12.37,1,220,3,272,7.997281907,7.695255534,0.302026373,-0.95455
328,12.95,1.5,279,2.8,249,8.258570776,6.896067339,1.362503437,1.4058
330,12.33,1.6,242,3.1,277,5.470961699,7.606045307,-2.135083608,-0.72212
331,11.89,1.3,248,2.8,276,7.83269302,5.625017573,2.207675447,-1.83044
333,12.12,1.5,225,2,279,7.257299287,6.733667646,0.523631641,0.98219
334,12.1,1.3,207,3.1,274,7.021068336,6.561985096,0.45908324,-0.54054
335,11.06,1.1,190,3.2,262,6.415327901,6.12440091,0.290926991,-0.20658
338,9.89,1,195,3.9,274,6.937479301,5.680402373,1.257076928,-0.55151
339,9.95,1.3,184,2.9,278,6.765234211,6.144785248,0.620448963,0.67665
341,9.24,1.1,166,3.4,280,6.254970693,6.023777571,0.231193122,0.10691
346,7.91,1,127,2.9,272,5.435165576,5.535515111,-0.100349535,-0.1372
348,7.43,1,115,3.9,273,5.138194905,4.580756587,0.557438318,-0.38476
352,6.95,0.8,23,2.2,273,4.286981762,4.349768826,-0.062787064,-0.32307
353,6.87,0.8,22,2,262,4.202429878,3.01790366,1.184526218,-0.91667
354,6.74,0.8,22,2.1,271,4.148989044,3.155839867,0.993149177,0.55134
357,6.07,0.6,21,2.3,270,3.754171529,3.254068894,0.500102635,0.40585
360,4.62,0.3,16,2.9,276,3.060922861,3.169939708,-0.109016847,0.43393
361,4.05,0.1,14,3.4,270,2.876168116,2.594482137,0.281685979,0.07997
364,0.31,-0.2,5,1.8,265,1.634785382,2.406693336,-0.771907954,0.66514
365,-0.95,-0.3,4,1.8,275,0.504410158,1.393277165,-0.888867007,-1.12118
379,0.01,0.1,1,0.1,1,0.379993053,0.248200778,0.131792275,-0.95634
386,-16.45,-13.8,6,0,242,0.283301636,0.179341339,0.103960297,-0.99509
389,-15.17,-12.9,15,0,257,1.157370511,0.615697002,0.541673509,-1.20029
390,-14.66,-12.7,22,0,265,1.888241572,0.694245245,1.193996327,-0.55525
